,name,skill
0,ニャオハ,ひっかく
1,ニャオハ,しっぽをふる
2,ニャオハ,このは
3,ニャオハ,かみつく
4,ニャオハ,つめとぎ
5,ニャオハ,マジカルリーフ
6,ニャオハ,でんこうせっか
7,ニャオハ,タネばくだん
8,ニャオハ,とんぼがえり
9,ニャオハ,なやみのタネ
10,ニャオハ,きりさく
11,ニャオハ,エナジーボール
12,ニャオハ,じゃれつく
13,ニャオハ,とっしん
14,ニャオハ,ソーラービーム
15,ニャオハ,こうそくいどう
16,ニャオハ,スピードスター
17,ニャオハ,ねむる
18,ニャオハ,みがわり
19,ニャオハ,まもる
20,ニャオハ,どろかけ
21,ニャオハ,ギガドレイン
22,ニャオハ,こらえる
23,ニャオハ,あまえる
24,ニャオハ,ねごと
25,ニャオハ,からげんき
26,ニャオハ,ちょうはつ
27,ニャオハ,てだすけ
28,ニャオハ,うそなき
29,ニャオハ,タネマシンガン
30,ニャオハ,マジカルリーフ
31,ニャオハ,とんぼがえり
32,ニャオハ,タネばくだん
33,ニャオハ,エナジーボール
34,ニャオハ,わるだくみ
35,ニャオハ,シャドークロー
36,ニャオハ,リーフストーム
37,ニャオハ,くさむすび
38,ニャオハ,アクロバット
39,ニャオハ,くさのちかい
40,ニャオハ,チャームボイス
41,ニャオハ,グラスフィールド
42,ニャオハ,じゃれつく
43,ニャオハ,テラバースト
44,ニャオハ,くさわけ
45,ニャオハ,やどりぎのタネ
46,ニャオハ,まねっこ
47,ニャオハ,ふいうち
48,ニャオハ,サイドチェンジ
49,ニャオハ,はなふぶき
50,ニャローテ,ひっかく
51,ニャローテ,しっぽをふる
52,ニャローテ,このは
53,ニャローテ,かみつく
54,ニャローテ,つめとぎ
55,ニャローテ,マジカルリーフ
56,ニャローテ,でんこうせっか
57,ニャローテ,タネばくだん
58,ニャローテ,とんぼがえり
59,ニャローテ,なやみのタネ
60,ニャローテ,きりさく
61,ニャローテ,エナジーボール
62,ニャローテ,じゃれつく
63,ニャローテ,リーフストーム
64,ニャローテ,かみなりパンチ
65,ニャローテ,とっしん
66,ニャローテ,けたぐり
67,ニャローテ,ソーラービーム
68,ニャローテ,こうそくいどう
69,ニャローテ,スピードスター
70,ニャローテ,ねむる
71,ニャローテ,みがわり
72,ニャローテ,まもる
73,ニャローテ,どろかけ
74,ニャローテ,ギガドレイン
75,ニャローテ,こらえる
76,ニャローテ,あまえる
77,ニャローテ,ねごと
78,ニャローテ,からげんき
79,ニャローテ,ちょうはつ
80,ニャローテ,てだすけ
81,ニャローテ,うそなき
82,ニャローテ,タネマシンガン
83,ニャローテ,つばめがえし
84,ニャローテ,マジカルリーフ
85,ニャローテ,とんぼがえり
86,ニャローテ,なげつける
87,ニャローテ,タネばくだん
88,ニャローテ,エナジーボール
89,ニャローテ,わるだくみ
90,ニャローテ,シャドークロー
91,ニャローテ,リーフストーム
92,ニャローテ,くさむすび
93,ニャローテ,ローキック
94,ニャローテ,アクロバット
95,ニャローテ,くさのちかい
96,ニャローテ,チャームボイス
97,ニャローテ,グラスフィールド
